"YEAR","COUNT","SIZE"
2022,0,110926
2022,1,164439
2022,2,131776
2022,3,83070
2022,4,48210
2022,5,27570
2022,6,14439
2022,7,6791
2022,8,2880
2022,9,1110
2022,10,339
2022,11,97
2022,12,17
2022,13,5
2022,14,1
2023,0,110150
2023,1,166210
2023,2,133672
2023,3,83828
2023,4,49396
2023,5,27847
2023,6,14587
2023,7,6969
2023,8,2927
2023,9,1086
2023,10,348
2023,11,111
2023,12,17
2023,13,3
2024,0,110467
2024,1,167199
2024,2,134485
2024,3,84844
2024,4,50040
2024,5,28608
2024,6,14890
2024,7,7184
2024,8,3026
2024,9,1076
2024,10,365
2024,11,87
2024,12,20
2024,13,6
2025,0,110245
2025,1,166712
2025,2,136002
2025,3,85784
2025,4,51232
2025,5,28716
2025,6,15403
2025,7,7266
2025,8,3151
2025,9,1170
2025,10,396
2025,11,101
2025,12,30
2025,13,2
2026,0,109658
2026,1,168264
2026,2,135573
2026,3,86867
2026,4,51567
2026,5,29576
2026,6,15898
2026,7,7521
2026,8,3094
2026,9,1183
2026,10,399
2026,11,101
2026,12,20
2026,13,5
2026,14,2
2027,0,109137
2027,1,168430
2027,2,136924
2027,3,87321
2027,4,52214
2027,5,30154
2027,6,16078
2027,7,7757
2027,8,3253
2027,9,1303
2027,10,370
2027,11,98
2027,12,31
2027,13,6
2028,0,108952
2028,1,168704
2028,2,137988
2028,3,87766
2028,4,52741
2028,5,30604
2028,6,16480
2028,7,8019
2028,8,3409
2028,9,1321
2028,10,395
2028,11,121
2028,12,26
2028,13,6
2028,14,1
2029,0,108566
2029,1,168751
2029,2,138373
2029,3,89025
2029,4,53732
2029,5,31142
2029,6,16861
2029,7,8234
2029,8,3458
2029,9,1336
2029,10,434
2029,11,110
2029,12,29
2029,13,1
2029,14,1
2030,0,108540
2030,1,169744
2030,2,138839
2030,3,89458
2030,4,54363
2030,5,31603
2030,6,17108
2030,7,8357
2030,8,3570
2030,9,1338
2030,10,441
2030,11,117
2030,12,23
2030,13,6
2030,14,1
2031,0,108519
2031,1,169585
2031,2,138912
2031,3,90769
2031,4,55204
2031,5,32251
2031,6,17483
2031,7,8597
2031,8,3591
2031,9,1375
2031,10,417
2031,11,120
2031,12,26
2031,13,5
2031,14,2
2032,0,108461
2032,1,170095
2032,2,140317
2032,3,90760
2032,4,55394
2032,5,32621
2032,6,17977
2032,7,8716
2032,8,3729
2032,9,1411
2032,10,480
2032,11,125
2032,12,35
2032,13,6
2032,14,2
2033,0,108475
2033,1,170516
2033,2,140328
2033,3,91787
2033,4,55684
2033,5,33476
2033,6,18249
2033,7,8827
2033,8,3837
2033,9,1466
2033,10,508
2033,11,131
2033,12,33
2033,13,9
2033,14,2
2034,0,108199
2034,1,170450
2034,2,141676
2034,3,92227
2034,4,56915
2034,5,33363
2034,6,18425
2034,7,9030
2034,8,3975
2034,9,1521
2034,10,520
2034,11,156
2034,12,34
2034,13,8
2035,0,108154
2035,1,170539
2035,2,142151
2035,3,93153
2035,4,57535
2035,5,34021
2035,6,18669
2035,7,9096
2035,8,4058
2035,9,1503
2035,10,500
2035,11,125
2035,12,36
2035,13,5
2035,14,3
2036,0,108064
2036,1,171528
2036,2,142491
2036,3,93233
2036,4,57774
2036,5,34884
2036,6,18848
2036,7,9428
2036,8,4057
2036,9,1581
2036,10,485
2036,11,128
2036,12,28
2036,13,8
2037,0,108213
2037,1,172069
2037,2,142797
2037,3,94404
2037,4,57994
2037,5,34816
2037,6,19163
2037,7,9596
2037,8,4184
2037,9,1572
2037,10,522
2037,11,113
2037,12,34
2037,13,7
2038,0,108275
2038,1,171466
2038,2,143340
2038,3,95243
2038,4,58833
2038,5,35434
2038,6,19628
2038,7,9734
2038,8,4190
2038,9,1568
2038,10,533
2038,11,142
2038,12,25
2038,13,6
2039,0,107873
2039,1,172242
2039,2,144164
2039,3,95456
2039,4,59455
2039,5,35958
2039,6,19558
2039,7,9851
2039,8,4339
2039,9,1683
2039,10,538
2039,11,157
2039,12,32
2039,13,10
2039,14,1
2040,0,108356
2040,1,172989
2040,2,143908
2040,3,96070
2040,4,59515
2040,5,36333
2040,6,20248
2040,7,9996
2040,8,4360
2040,9,1754
2040,10,532
2040,11,154
2040,12,29
2040,13,5
2041,0,108400
2041,1,172596
2041,2,145416
2041,3,96305
2041,4,60569
2041,5,36429
2041,6,20371
2041,7,10272
2041,8,4382
2041,9,1707
2041,10,573
2041,11,123
2041,12,33
2041,13,6
2041,14,2
2042,0,109190
2042,1,173322
2042,2,144563
2042,3,97402
2042,4,61006
2042,5,36726
2042,6,20583
2042,7,10318
2042,8,4474
2042,9,1789
2042,10,590
