"YEAR","COUNT","SIZE"
2022,0,337472
2022,1,127755
2022,2,60837
2022,3,32607
2022,4,16736
2022,5,8331
2022,6,4219
2022,7,2041
2022,8,961
2022,9,404
2022,10,187
2022,11,73
2022,12,32
2022,13,7
2022,14,7
2022,15,1
2023,0,339945
2023,1,128413
2023,2,61742
2023,3,33165
2023,4,17255
2023,5,8525
2023,6,4214
2023,7,2048
2023,8,1007
2023,9,456
2023,10,232
2023,11,99
2023,12,37
2023,13,9
2023,14,2
2023,15,1
2023,16,1
2024,0,341386
2024,1,130216
2024,2,62578
2024,3,33432
2024,4,17676
2024,5,8774
2024,6,4294
2024,7,2116
2024,8,1034
2024,9,460
2024,10,199
2024,11,85
2024,12,23
2024,13,12
2024,14,7
2024,15,3
2024,16,2
2025,0,341401
2025,1,131716
2025,2,63369
2025,3,34241
2025,4,17932
2025,5,9119
2025,6,4408
2025,7,2191
2025,8,971
2025,9,498
2025,10,228
2025,11,89
2025,12,27
2025,13,14
2025,14,5
2025,16,1
2026,0,342269
2026,1,132456
2026,2,64306
2026,3,34710
2026,4,18085
2026,5,9245
2026,6,4513
2026,7,2269
2026,8,1090
2026,9,442
2026,10,200
2026,11,82
2026,12,46
2026,13,9
2026,14,4
2026,16,2
2027,0,342211
2027,1,134053
2027,2,64815
2027,3,35507
2027,4,18559
2027,5,9099
2027,6,4630
2027,7,2210
2027,8,1157
2027,9,449
2027,10,225
2027,11,101
2027,12,32
2027,13,18
2027,14,9
2027,15,1
2028,0,342344
2028,1,134310
2028,2,66127
2028,3,36043
2028,4,18935
2028,5,9642
2028,6,4670
2028,7,2391
2028,8,1161
2028,9,518
2028,10,229
2028,11,101
2028,12,39
2028,13,10
2028,14,10
2028,15,1
2028,16,2
2029,0,343030
2029,1,135780
2029,2,66274
2029,3,36311
2029,4,19450
2029,5,9905
2029,6,4890
2029,7,2358
2029,8,1145
2029,9,523
2029,10,224
2029,11,109
2029,12,34
2029,13,13
2029,14,5
2029,15,1
2029,17,1
2030,0,343261
2030,1,137361
2030,2,67228
2030,3,36591
2030,4,19482
2030,5,10016
2030,6,4937
2030,7,2468
2030,8,1269
2030,9,538
2030,10,215
2030,11,81
2030,12,43
2030,13,11
2030,14,6
2030,15,1
2031,0,344075
2031,1,137793
2031,2,67861
2031,3,36981
2031,4,20097
2031,5,10287
2031,6,5095
2031,7,2541
2031,8,1174
2031,9,529
2031,10,241
2031,11,109
2031,12,45
2031,13,17
2031,14,7
2031,15,4
2032,0,344198
2032,1,138669
2032,2,68567
2032,3,37689
2032,4,20346
2032,5,10426
2032,6,5299
2032,7,2645
2032,8,1299
2032,9,572
2032,10,248
2032,11,92
2032,12,52
2032,13,18
2032,14,4
2032,15,4
2032,17,1
2033,0,344500
2033,1,139720
2033,2,69234
2033,3,38215
2033,4,20762
2033,5,10597
2033,6,5383
2033,7,2618
2033,8,1296
2033,9,556
2033,10,284
2033,11,96
2033,12,45
2033,13,20
2033,14,1
2033,15,1
2034,0,345658
2034,1,140147
2034,2,69497
2034,3,38645
2034,4,21121
2034,5,10879
2034,6,5404
2034,7,2793
2034,8,1276
2034,9,617
2034,10,274
2034,11,112
2034,12,54
2034,13,15
2034,14,5
2034,15,1
2034,17,1
2035,0,345474
2035,1,141573
2035,2,70746
2035,3,39210
2035,4,20942
2035,5,10937
2035,6,5533
2035,7,2734
2035,8,1356
2035,9,586
2035,10,275
2035,11,112
2035,12,41
2035,13,18
2035,14,4
2035,15,5
2035,16,2
2036,0,346459
2036,1,142018
2036,2,71282
2036,3,39289
2036,4,21588
2036,5,11011
2036,6,5667
2036,7,2831
2036,8,1322
2036,9,618
2036,10,274
2036,11,102
2036,12,53
2036,13,16
2036,14,5
2036,15,1
2036,16,1
2037,0,346908
2037,1,142615
2037,2,72038
2037,3,40061
2037,4,21612
2037,5,11277
2037,6,5602
2037,7,2907
2037,8,1375
2037,9,644
2037,10,272
2037,11,105
2037,12,33
2037,13,20
2037,14,11
2037,15,2
2037,16,2
2038,0,347090
2038,1,143522
2038,2,72629
2038,3,40632
2038,4,21856
2038,5,11354
2038,6,5828
2038,7,2935
2038,8,1396
2038,9,692
2038,10,274
2038,11,123
2038,12,58
2038,13,24
2038,14,4
2039,0,347846
2039,1,144812
2039,2,72844
2039,3,40956
2039,4,22049
2039,5,11572
2039,6,5903
2039,7,2826
2039,8,1422
2039,9,619
2039,10,271
2039,11,105
2039,12,52
2039,13,24
2039,14,8
2039,15,2
2039,16,3
2039,17,1
2039,18,2
2040,0,348198
2040,1,145735
2040,2,72994
2040,3,41248
2040,4,22681
2040,5,11833
2040,6,5965
2040,7,3000
2040,8,1461
2040,9,651
2040,10,274
2040,11,139
2040,12,46
2040,13,19
2040,14,3
2040,15,1
2040,16,1
2041,0,349226
2041,1,146470
2041,2,74101
2041,3,41377
2041,4,22402
2041,5,11949
2041,6,6076
2041,7,2985
2041,8,1438
2041,9,668
2041,10,284
2041,11,127
2041,12,52
2041,13,18
2041,14,8
2041,15,2
2041,16,1
2042,0,349757
2042,1,147215
2042,2,74584
2042,3,41650
2042,4,22980
2042,5,12087
2042,6,6088
2042,7,3111
2042,8,1426
2042,9,709
2042,10,328
2042,11,137
2042,12,50
2042,13,26
2042,14,9
2042,15,3
2043,0,350716
2043,1,147712
2043,2,75125
2043,3,41876
2043,4,23297
2043,5,12203
2043,6,6236
2043,7,3192
2043,8,1547
2043,9,690
2043,10,323
2043,11,143
2043,12,56
2043,13,22
2043,14,8
2043,15,3
2043,16,1
2044,0,351558
2044,1,148054
2044,2,75317
2044,3,42926
2044,4,23462
2044,5,12381
2044,6,6416
2044,7,3185
2044,8,1562
2044,9,698
2044,10,291
2044,11,141
2044,12,63
2044,13,18
2044,14,12
2044,15,4
2045,0,351891
2045,1,149263
2045,2,76300
2045,3,42959
2045,4,23518
2045,5,12530
2045,6,6468
2045,7,3235
2045,8,1565
2045,9,713
2045,10,326
2045,11,156
2045,12,65
2045,13,23
2045,14,8
2045,15,3
2046,0,352536
2046,1,149866
2046,2,76862
2046,3,43285
2046,4,23855
2046,5,12777
2046,6,6498
2046,7,3334
2046,8,1590
2046,9,770
2046,10,354
2046,11,153
2046,12,49
2046,13,18
2046,14,11
2046,15,4
2047,0,354062
2047,1,150242
2047,2,76820
2047,3,43628
2047,4,24297
2047,5,12810
2047,6,6538
2047,7,3419
2047,8,1646
2047,9,777
2047,10,351
2047,11,150
2047,12,50
2047,13,21
2047,14,13
2047,16,2
